ID1	ID2	ID3	RECORD #	RECORD ID
09HIS	00000	00000	297346	09HIS-00000-00000
09HIS	00000	00001	297477	09HIS-00000-00001
09HIS	00000	00002	297517	09HIS-00000-00002
09HIS	00000	00003	297567	09HIS-00000-00003
09HIS	00000	00004	297868	09HIS-00000-00004
09HIS	00000	00005	297872	09HIS-00000-00005
09HIS	00000	00006	297885	09HIS-00000-00006
09HIS	00000	00007	297887	09HIS-00000-00007
09HIS	00000	00008	297888	09HIS-00000-00008
09HIS	00000	00009	297938	09HIS-00000-00009
09HIS	00000	0000A	297954	09HIS-00000-0000A
09HIS	00000	0000B	297984	09HIS-00000-0000B
09HIS	00000	0000C	297985	09HIS-00000-0000C
09HIS	00000	0000D	297986	09HIS-00000-0000D
09HIS	00000	0000E	297993	09HIS-00000-0000E
09HIS	00000	0000F	297998	09HIS-00000-0000F
09HIS	00000	0000G	298008	09HIS-00000-0000G
09HIS	00000	0000H	298045	09HIS-00000-0000H
09HIS	00000	0000I	298071	09HIS-00000-0000I
09HIS	00000	0000J	298084	09HIS-00000-0000J
09HIS	00000	0000K	298117	09HIS-00000-0000K
09HIS	00000	0000L	298125	09HIS-00000-0000L
09HIS	00000	0000M	298132	09HIS-00000-0000M
09HIS	00000	0000N	298134	09HIS-00000-0000N
09HIS	00000	0000O	298147	09HIS-00000-0000O
09HIS	00000	0000P	298155	09HIS-00000-0000P
09HIS	00000	0000Q	298157	09HIS-00000-0000Q
09HIS	00000	0000R	298164	09HIS-00000-0000R
09HIS	00000	0000S	298166	09HIS-00000-0000S
09HIS	00000	0000T	298167	09HIS-00000-0000T
09HIS	00000	0000U	298168	09HIS-00000-0000U
09HIS	00000	0000V	298169	09HIS-00000-0000V
09HIS	00000	0000W	298173	09HIS-00000-0000W
09HIS	00000	0000X	298187	09HIS-00000-0000X
09HIS	00000	0000Y	298198	09HIS-00000-0000Y
09HIS	00000	0000Z	298209	09HIS-00000-0000Z
09HIS	00000	00010	298211	09HIS-00000-00010
09HIS	00000	00011	298212	09HIS-00000-00011
09HIS	00000	00012	298226	09HIS-00000-00012
09HIS	00000	00013	298235	09HIS-00000-00013
09HIS	00000	00014	298245	09HIS-00000-00014
09HIS	00000	00015	298248	09HIS-00000-00015
09HIS	00000	00016	298250	09HIS-00000-00016
09HIS	00000	00017	298253	09HIS-00000-00017
09HIS	00000	00018	298271	09HIS-00000-00018
09HIS	00000	00019	298274	09HIS-00000-00019
09HIS	00000	0001A	298293	09HIS-00000-0001A
09HIS	00000	0001B	298353	09HIS-00000-0001B
09HIS	00000	0001C	298376	09HIS-00000-0001C
09HIS	00000	0001D	298377	09HIS-00000-0001D
09HIS	00000	0001E	298379	09HIS-00000-0001E
09HIS	00000	0001F	298422	09HIS-00000-0001F
09HIS	00000	0001G	298423	09HIS-00000-0001G
09HIS	00000	0001H	298434	09HIS-00000-0001H
09HIS	00000	0001I	298508	09HIS-00000-0001I
09HIS	00000	0001J	298525	09HIS-00000-0001J
09HIS	00000	0001K	298536	09HIS-00000-0001K
09HIS	00000	0001L	298545	09HIS-00000-0001L
09HIS	00000	0001M	298585	09HIS-00000-0001M
09HIS	00000	0001N	298596	09HIS-00000-0001N
09HIS	00000	0001O	298599	09HIS-00000-0001O
09HIS	00000	0001P	298607	09HIS-00000-0001P
09HIS	00000	0001Q	298608	09HIS-00000-0001Q
09HIS	00000	0001R	298623	09HIS-00000-0001R
09HIS	00000	0001S	298635	09HIS-00000-0001S
